City,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temperature,Wind Speed
117,gimli,CA,50.6336,-96.9907,1623262936,100,94,297.07,6.69
118,saint george,US,37.1041,-113.5841,1623262936,1,14,306.41,1.34
119,kamsack,CA,51.5667,-101.9009,1623262937,100,92,285.69,5.62
120,novoye devyatkino,RU,60.0727,30.4784,1623262938,96,67,293.1,1.98
121,katakwi,UG,1.8911,33.9661,1623262938,37,65,294.16,2.4
122,vendome,FR,47.8,1.0667,1623262939,61,64,300.44,1.03
123,buraydah,SA,26.326,43.975,1623262940,9,8,311.4,6.76
124,hambantota,LK,6.1241,81.1185,1623262940,98,80,300.46,7.51
125,kodiak,US,57.79,-152.4072,1623262880,90,87,281.88,7.2
126,sibolga,ID,1.7427,98.7792,1623262942,100,85,297.92,1.39
127,chatakonda,IN,17.55,80.65,1623262942,100,77,300.5,0.64
128,nikolskoye,RU,59.7035,30.7861,1623262943,88,70,293.09,1.81
129,oster,UA,50.9506,30.8823,1623262944,38,87,293.09,3.19
130,armilla,ES,37.141,-3.6185,1623262944,20,21,306.48,2.68
131,vaini,TO,-21.2,-175.2,1623262945,20,83,293.24,4.12
132,alpena,US,45.0617,-83.4327,1623262946,75,60,297.33,3.13
133,san juan,AR,-31.5375,-68.5364,1623262777,29,35,292.49,1.16
134,faanui,PF,-16.4833,-151.75,1623262947,82,79,300.06,6.11
135,cherskiy,RU,68.75,161.3,1623262947,100,83,275.87,1.41
136,rocha,UY,-34.4833,-54.3333,1623262948,98,87,289.66,5.82
137,basarabeasca,MD,46.3311,28.9728,1623262949,75,67,295.44,3.32
138,galbshtadt,RU,53.2264,78.9845,1623262949,6,64,282.44,3.85
139,harper,LR,4.375,-7.7169,1623262950,100,81,300.22,2.69
140,flinders,AU,-34.5833,150.8552,1623262950,21,83,277.75,0.45
141,bumba,CD,2.1833,22.4667,1623262951,88,66,299.79,0.84
142,roma,US,43.2128,-75.4557,1623262952,90,85,302.57,4.63
143,kahului,US,20.8947,-156.47,1623262953,40,68,299.17,6.17
144,pilar,BR,-9.5972,-35.9567,1623262953,30,63,300.11,3.44
145,cidreira,BR,-30.1811,-50.2056,1623262954,99,93,290.95,8.22
146,shelburne,CA,44.0787,-80.2041,1623262955,50,76,301.09,3.81
147,grand gaube,MU,-20.0064,57.6608,1623262956,3,71,296.37,3.13
148,cabo san lucas,MX,22.8909,-109.9124,1623262956,1,43,310.66,1.54
149,ancud,CL,-41.8697,-73.8203,1623262957,86,74,283.94,7.76
150,jizan,SA,17.3333,42.6667,1623262957,31,63,306.67,1.7
151,zhangye,CN,38.9342,100.4517,1623262958,93,28,294.9,2.56
